DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
08-11-1996;00:00:01;0;2736,1;2739,8;2736,1;2744,9
11-11-1996;00:00:01;0;2736;2728,3;2728,3;2737,1
12-11-1996;00:00:01;0;2730;2734,3;2726,3;2734,4
13-11-1996;00:00:01;0;2761,8;2773,4;2761,8;2776
14-11-1996;00:00:01;0;2785,1;2777;2767,9;2785,2
15-11-1996;00:00:01;0;2790,3;2795,8;2787,6;2799,1
18-11-1996;00:00:01;0;2793,3;2763,8;2763,8;2793,3
19-11-1996;00:00:01;0;2773,8;2764,1;2758,7;2773,8
20-11-1996;00:00:01;0;2777,3;2774,5;2773,6;2784,6
21-11-1996;00:00:01;0;2765;2772,3;2760,3;2774,3
22-11-1996;00:00:01;0;2764,9;2763,7;2756,1;2764,9
25-11-1996;00:00:01;0;2783,3;2799,2;2783,3;2799,2
26-11-1996;00:00:01;0;2808,7;2810,6;2808,7;2820
27-11-1996;00:00:01;0;2806,9;2797;2793,3;2807,3
28-11-1996;00:00:01;0;2803,5;2817,5;2803,5;2818,7
29-11-1996;00:00:01;0;2838,6;2845,5;2837,6;2845,5
02-12-1996;00:00:01;0;2854,8;2858,6;2853,2;2860,2
03-12-1996;00:00:01;0;2890,7;2887;2886,1;2895,2
04-12-1996;00:00:01;0;2868,5;2866,1;2857,9;2874,4
05-12-1996;00:00:01;0;2889,1;2909,9;2889,1;2914,6
06-12-1996;00:00:01;0;2838,2;2792;2760,8;2838,2
09-12-1996;00:00:01;0;2839,4;2857,2;2839,4;2872,6
10-12-1996;00:00:01;0;2882,2;2891;2882,2;2893,3
11-12-1996;00:00:01;0;2853,7;2841,1;2839,1;2853,7
12-12-1996;00:00:01;0;2844,4;2847,1;2837,8;2853
13-12-1996;00:00:01;0;2813,3;2799,7;2797,5;2814,3
16-12-1996;00:00:01;0;2831,2;2855,8;2831,2;2855,8
17-12-1996;00:00:01;0;2826,7;2815,1;2811,2;2826,7
18-12-1996;00:00:01;0;2816,7;2820,8;2816,7;2825,8
19-12-1996;00:00:01;0;2820,5;2807,8;2802,8;2821,7
20-12-1996;00:00:01;0;2843,7;2854,5;2843,7;2857,1
23-12-1996;00:00:01;0;2847,1;2845,6;2841,4;2847,1
27-12-1996;00:00:01;0;2853,8;2852,9;2852,7;2857,3
30-12-1996;00:00:01;0;2871,2;2888,7;2853,4;2888,7
02-01-1997;00:00:01;0;2855,2;2848,8;2833,8;2855,2
03-01-1997;00:00:01;0;2847,2;2859,3;2842,5;2859,3
06-01-1997;00:00:01;0;2889,3;2881,3;2881,2;2899,4
07-01-1997;00:00:01;0;2876,3;2886,1;2875,1;2886,4
08-01-1997;00:00:01;0;2892,1;2906,3;2892,1;2907,4
09-01-1997;00:00:01;0;2901,6;2892,6;2886,2;2901,6
10-01-1997;00:00:01;0;2922,5;2933,4;2922,5;2935,3
13-01-1997;00:00:01;0;2951,6;2955;2951,6;2961,3
14-01-1997;00:00:01;0;2953,1;2949;2947,3;2955,8
15-01-1997;00:00:01;0;2984,3;2988,5;2984,2;2997,1
16-01-1997;00:00:01;0;2970,5;2993,3;2970,5;2998,6
17-01-1997;00:00:01;0;3006,2;3001,4;2996;3011,2
20-01-1997;00:00:01;0;3021,1;3030,7;3016,4;3031,6
21-01-1997;00:00:01;0;2992,4;2976,7;2972,8;2992,4
22-01-1997;00:00:01;0;3032,4;3028,7;3028,2;3041,6
23-01-1997;00:00:01;0;3018,6;3033,5;3013,4;3033,5
24-01-1997;00:00:01;0;3006,8;2998,2;2990,9;3006,8
27-01-1997;00:00:01;0;2995,3;2994,5;2989;2998,7
28-01-1997;00:00:01;0;2992,1;2989,3;2984,1;2993,4
29-01-1997;00:00:01;0;3002,4;2999,2;2996,9;3007,6
30-01-1997;00:00:01;0;3008,5;3017,3;3008,5;3024,7
31-01-1997;00:00:01;0;3021;3035,2;3019,7;3036,5
03-02-1997;00:00:01;0;3034,3;3062,3;3032,3;3062,3
04-02-1997;00:00:01;0;3082,1;3067,1;3066,8;3083,1
05-02-1997;00:00:01;0;3086,8;3098;3085,6;3099,8
06-02-1997;00:00:01;0;3098,5;3104,1;3098,5;3106,7
07-02-1997;00:00:01;0;3123,5;3138;3123,5;3140,3
10-02-1997;00:00:01;0;3156,2;3184,4;3156,2;3185
11-02-1997;00:00:01;0;3195,4;3187,6;3181,9;3196,4
12-02-1997;00:00:01;0;3215,7;3216,1;3206,1;3228,6
13-02-1997;00:00:01;0;3229,7;3229,5;3221,4;3232,1
14-02-1997;00:00:01;0;3251,8;3248,2;3244,3;3260,9
17-02-1997;00:00:01;0;3237,7;3232,6;3228,7;3242,3
18-02-1997;00:00:01;0;3266,3;3276,2;3266,3;3287,8
19-02-1997;00:00:01;0;3241,4;3233,8;3231,7;3250,2
20-02-1997;00:00:01;0;3195,2;3196;3187,1;3198,8
21-02-1997;00:00:01;0;3179,4;3184,1;3171,1;3190,5
24-02-1997;00:00:01;0;3180,7;3184,2;3176;3188,5
25-02-1997;00:00:01;0;3210,7;3233,2;3210,7;3235,5
26-02-1997;00:00:01;0;3231,2;3237,9;3227,4;3237,9
27-02-1997;00:00:01;0;3271,8;3276,7;3271,8;3284,4
28-02-1997;00:00:01;0;3261,6;3259,6;3251,8;3264,2
03-03-1997;00:00:01;0;3264,5;3263,9;3260,2;3268,6
04-03-1997;00:00:01;0;3301,1;3320,7;3301,1;3320,7
05-03-1997;00:00:01;0;3332,3;3365;3332,3;3365
06-03-1997;00:00:01;0;3416,3;3417,6;3406,9;3426,5
07-03-1997;00:00:01;0;3384,9;3376,2;3371,8;3384,9
10-03-1997;00:00:01;0;3417;3436,1;3417;3442,9
11-03-1997;00:00:01;0;3464,2;3460,6;3453,5;3475
12-03-1997;00:00:01;0;3438,3;3415,4;3404,4;3440,8
13-03-1997;00:00:01;0;3358,6;3349,8;3338,5;3358,6
14-03-1997;00:00:01;0;3338,9;3359,3;3321,3;3359,3
17-03-1997;00:00:01;0;3370,2;3351;3351;3374,7
18-03-1997;00:00:01;0;3341,8;3291,2;3291,2;3341,8
19-03-1997;00:00:01;0;3306,7;3315,9;3293,9;3320,2
20-03-1997;00:00:01;0;3290;3264,7;3264,7;3290
21-03-1997;00:00:01;0;3292,5;3298,2;3286,9;3303
24-03-1997;00:00:01;0;3313,7;3321,8;3313,2;3329,5
25-03-1997;00:00:01;0;3333,8;3349,1;3328,5;3350,8
26-03-1997;00:00:01;0;3382,5;3418,1;3380,4;3425,1
27-03-1997;00:00:01;0;3432,9;3429,1;3413,5;3442,6
01-04-1997;00:00:01;0;3336,1;3295,9;3266,6;3336,1
02-04-1997;00:00:01;0;3306,7;3301,9;3298,1;3316,7
03-04-1997;00:00:01;0;3222,2;3215,2;3192,3;3222,2
04-04-1997;00:00:01;0;3227;3244,9;3226,6;3249,2
07-04-1997;00:00:01;0;3298,4;3312,9;3298,4;3326
08-04-1997;00:00:01;0;3325,5;3329,8;3320,8;3339,9
09-04-1997;00:00:01;0;3353,9;3359,5;3351,4;3378,3
10-04-1997;00:00:01;0;3348,3;3351,5;3342;3358,2
11-04-1997;00:00:01;0;3353,5;3340,1;3336,9;3369,3
14-04-1997;00:00:01;0;3278,4;3279,9;3267;3285,8
15-04-1997;00:00:01;0;3323,3;3327,7;3323,3;3337
16-04-1997;00:00:01;0;3356,4;3353,5;3345,6;3368,3
17-04-1997;00:00:01;0;3371,3;3383,3;3371,3;3389,2
18-04-1997;00:00:01;0;3351,4;3344,4;3342,6;3354
21-04-1997;00:00:01;0;3325,3;3347,6;3325;3348
22-04-1997;00:00:01;0;3347;3340,3;3338,8;3356,4
23-04-1997;00:00:01;0;3387,4;3396;3387,4;3402,9
24-04-1997;00:00:01;0;3393,7;3397,4;3391;3407,2
25-04-1997;00:00:01;0;3390,3;3374,1;3372,3;3392,7
28-04-1997;00:00:01;0;3369,5;3363,1;3361,7;3377,7
29-04-1997;00:00:01;0;3384,3;3383,2;3379,8;3389,3
30-04-1997;00:00:01;0;3428,3;3438,1;3428,3;3452,6
02-05-1997;00:00:01;0;3448,7;3460,4;3448,7;3460,4
05-05-1997;00:00:01;0;3510,9;3528,8;3510,9;3533,2
